ParkName,ParkType,Acreage,ParkID,location,lat,lon
MCCOPPIN SQUARE,Neighborhood Park or Playground,7.24,88,"24th
San Francisco, CA
(37.74382723, -122.48007959)",37.74382723, -122.48007959
MCKINLEY SQUARE,Neighborhood Park or Playground,2.81,53,"20th St
San Francisco, CA
(37.75913976, -122.40469058)",37.75913976, -122.40469058
MERCED HEIGHTS PLAYGROUND,Neighborhood Park or Playground,1.03,17,"Byxbee
San Francisco, CA
(37.71750931, -122.47028126)",37.71750931, -122.47028126
MICHELANGELO PLAYGROUND,Neighborhood Park or Playground,0.44,148,"Greenwich
San Francisco, CA
(37.80109573, -122.41689916)",37.80109573, -122.41689916
MIDTOWN TERRACE PLAYGROUND,Neighborhood Park or Playground,1.57,167,"Clarendon
San Francisco, CA
(37.75223367, -122.45453246)",37.75223367, -122.45453246
MINNIE & LOVIE WARD REC CENTER,Neighborhood Park or Playground,10.3,19,"650 Capitol
San Francisco, CA
(37.71577016, -122.45757024)",37.71577016, -122.45757024
MIRALOMA PLAYGROUND,Neighborhood Park or Playground,2.2,70,"Omar
San Francisco, CA
(37.73864614, -122.44931265)",37.73864614, -122.44931265
MISSION DOLORES PARK,Neighborhood Park or Playground,15.94,63,"19th
San Francisco, CA
(37.75975506, -122.42709405)",37.75975506, -122.42709405
MISSION PLAYGROUND,Neighborhood Park or Playground,2.03,61,"19th
San Francisco, CA
(37.7592917, -122.42230064)",37.7592917, -122.42230064
MISSION REC CENTER,Neighborhood Park or Playground,0.63,59,"2450 Harrison St
San Francisco, CA
(37.75813659, -122.41292225)",37.75813659, -122.41292225
MOSCONE RECREATION CENTER,Neighborhood Park or Playground,12.07,132,"1800 Chestnut St
San Francisco, CA
(37.8021249, -122.43313532)",37.8021249, -122.43313532
MOUNTAIN LAKE PARK,Neighborhood Park or Playground,12.79,102,"1 11th Ave
San Francisco, CA
(37.78724257, -122.4690454)",37.78724257, -122.4690454
NOE VALLEY COURTS,Neighborhood Park or Playground,0.93,72,"24th
San Francisco, CA
(37.75140324, -122.43892096)",37.75140324, -122.43892096
PALEGA RECREATION CENTER,Neighborhood Park or Playground,4.97,30,"500 Felton St
San Francisco, CA
(37.72934205, -122.40978)",37.72934205, -122.40978
PALOU/PHELPS PARK,Neighborhood Park or Playground,2.63,188,"Palou
San Francisco, CA
(37.73551382, -122.39472336)",37.73551382, -122.39472336
PARKSIDE SQUARE,Neighborhood Park or Playground,8.31,84,"28th Ave
San Francisco, CA
(37.73794781, -122.48390596)",37.73794781, -122.48390596
PARQUE NINOS UNIDOS,Neighborhood Park or Playground,0.53,187,"23rd
San Francisco, CA
(37.75439053, -122.41356906)",37.75439053, -122.41356906
PEIXOTTO PLAYGROUND,Neighborhood Park or Playground,0.79,195,"15th St
San Francisco, CA
(37.76578838, -122.43790519)",37.76578838, -122.43790519
PORTSMOUTH SQUARE,Neighborhood Park or Playground,1.29,141,"Washington
San Francisco, CA
(37.79483492, -122.40535067)",37.79483492, -122.40535067
POTRERO DEL SOL PARK,Neighborhood Park or Playground,4.36,49,"Potrero
San Francisco, CA
(37.75060695, -122.40507971)",37.75060695, -122.40507971
POTRERO HILL RECREATION CENTER,Neighborhood Park or Playground,10.07,52,"801 Arkansas St
San Francisco, CA
(37.75613966, -122.39688179)",37.75613966, -122.39688179
PRECITA PARK,Neighborhood Park or Playground,2.21,37,"3200 Folsom St
San Francisco, CA
(37.74706232, -122.41202466)",37.74706232, -122.41202466
PRESIDIO HEIGHTS PLAYGROUND,Neighborhood Park or Playground,0.44,109,"Clay
San Francisco, CA
(37.78847078, -122.4495972)",37.78847078, -122.4495972
RAYMOND KIMBELL PLAYGROUND,Neighborhood Park or Playground,0,124,"Geary Blvd
San Francisco, CA
(37.78294403, -122.43512653)",37.78294403, -122.43512653
RICHMOND PLAYGROUND,Neighborhood Park or Playground,0.82,100,"18th Ave
San Francisco, CA
(37.78513017, -122.47811169)",37.78513017, -122.47811169
RICHMOND RECREATION CENTER,Neighborhood Park or Playground,0.82,172,"251 18th Ave
San Francisco, CA
(37.78326998, -122.47797676)",37.78326998, -122.47797676
ROCHAMBEAU PLAYGROUND,Neighborhood Park or Playground,0.83,99,"238 25th Ave
San Francisco, CA
(37.78483852, -122.48454408)",37.78483852, -122.48454408
ROCK OUTCROPPING,Neighborhood Park or Playground,1.4,175,"Ortega
San Francisco, CA
(37.75384487, -122.47086479)",37.75384487, -122.47086479
ROLPH NICOL PLAYGROUND,Neighborhood Park or Playground,3.04,9,"Eucalyptus Dr
San Francisco, CA
(37.73060291, -122.48041933)",37.73060291, -122.48041933
RUSSIAN HILL OPEN SPACE,Neighborhood Park or Playground,0.96,153,"Hyde
San Francisco, CA
(37.80341611, -122.42075699)",37.80341611, -122.42075699
SILVER TERRACE PLAYGROUND,Neighborhood Park or Playground,5.47,39,"Thornton
San Francisco, CA
(37.73285911, -122.40314958)",37.73285911, -122.40314958
SOUTH PARK,Neighborhood Park or Playground,1.12,56,"64 Park Ave
San Francisco, CA
(37.78157949, -122.39395227)",37.78157949, -122.39395227
SOUTH SUNSET PLAYGROUND,Neighborhood Park or Playground,3.72,85,"40th Ave
San Francisco, CA
(37.73738679, -122.49845174)",37.73738679, -122.49845174
ST MARY'S REC CENTER,Neighborhood Park or Playground,13.6,31,"Murray
San Francisco, CA
(37.73365828, -122.42064294)",37.73365828, -122.42064294
STATES STREET PLAYGROUND,Neighborhood Park or Playground,2.76,200,"86 States St
San Francisco, CA
(37.76380044, -122.43785312)",37.76380044, -122.43785312
SUE BIERMAN PARK,Neighborhood Park or Playground,4.41,143,"Clay St
San Francisco, CA
(37.79592597, -122.3965106)",37.79592597, -122.3965106
SUNNYSIDE PLAYGROUND,Neighborhood Park or Playground,2.37,67,"Teresita Ave
San Francisco, CA
(37.73366412, -122.4474787)",37.73366412, -122.4474787
SUNSET PLAYGROUND,Neighborhood Park or Playground,3.29,93,"2201 Lawton St
San Francisco, CA
(37.75658875, -122.48684698)",37.75658875, -122.48684698
TANK HILL,Neighborhood Park or Playground,2.87,76,"Clarendon
San Francisco, CA
(37.75994801, -122.44768643)",37.75994801, -122.44768643
TENDERLOIN CHILDREN'S REC CENTER,Neighborhood Park or Playground,0.61,168,"570 Ellis St
San Francisco, CA
(37.78482103, -122.41540228)",37.78482103, -122.41540228
UPPER NOE RECREATION CENTER,Neighborhood Park or Playground,2.51,22,"Day
San Francisco, CA
(37.74243091, -122.42779751)",37.74243091, -122.42779751
VICTORIA MANALO DRAVES PARK,Neighborhood Park or Playground,2.52,169,"Folsom
San Francisco, CA
(37.77700947, -122.40595532)",37.77700947, -122.40595532
VISITACION VALLEY GREENWAY,Neighborhood Park or Playground,2.13,177,"Lel
San Francisco, CA
(37.71476638, -122.40613194)",37.71476638, -122.40613194
VISITACION VALLEY PLAYGROUND,Neighborhood Park or Playground,2.05,27,"251 Lel&amp; St
San Francisco, CA
(37.71240126, -122.40908547)",37.71240126, -122.40908547
WALTER HAAS PLAYGROUND,Neighborhood Park or Playground,4.4,4,"Addison
San Francisco, CA
(37.74058384, -122.43436978)",37.74058384, -122.43436978
WEST PORTAL PLAYGROUND,Neighborhood Park or Playground,1.91,68,"Ulloa
San Francisco, CA
(37.74160392, -122.46524393)",37.74160392, -122.46524393
WEST SUNSET PLAYGROUND,Neighborhood Park or Playground,17.16,91,"3223 Ortega St &amp; 39th Ave
San Francisco, CA
(37.74899627, -122.49800859)",37.74899627, -122.49800859
WOH HEI YUEN PARK,Neighborhood Park or Playground,0.31,170,"922 Jackson St
San Francisco, CA
(37.79584858, -122.41033649)",37.79584858, -122.41033649
YOUNGBLOOD COLEMAN PLAYGROUND,Neighborhood Park or Playground,6.13,45,"1398 Hudson St
San Francisco, CA
(37.73876792, -122.38450221)",37.73876792, -122.38450221
